Name,Type
,
,
speed_slider_mask,UINT32
speed_slider_fraction,DOUBLE
standard_digital_output_mask,UINT8
configurable_digital_output_mask,UINT8
standard_digital_output,UINT8
configurable_digital_output,UINT8
,
,
standard_analog_output_mask,UINT8
,
,
,
standard_analog_output_type,UINT8
standard_analog_output_0,DOUBLE
,
standard_analog_output_1,DOUBLE
,
,
input_bit_registers0_to_31,UINT32
,
,
input_bit_registers32_to_63,UINT32
,
,
input_bit_register_X,BOOL
,
,
,
,
,
input_int_register_X,INT32
,
,
,
,
,
,
input_double_register_X,DOUBLE
,
,
,
,
external_force_torque,VECTOR6D
,
,
input_bit_register_0,BOOL
input_bit_register_1,BOOL
input_bit_register_2,BOOL
input_bit_register_3,BOOL
input_bit_register_4,BOOL
input_bit_register_5,BOOL
input_bit_register_6,BOOL
input_bit_register_7,BOOL
input_bit_register_8,BOOL
input_bit_register_9,BOOL
input_bit_register_10,BOOL
input_bit_register_11,BOOL
input_bit_register_12,BOOL
input_bit_register_13,BOOL
input_bit_register_14,BOOL
input_bit_register_15,BOOL
input_bit_register_16,BOOL
input_bit_register_17,BOOL
input_bit_register_18,BOOL
input_bit_register_19,BOOL
input_bit_register_20,BOOL
input_bit_register_21,BOOL
input_bit_register_22,BOOL
input_bit_register_23,BOOL
input_bit_register_24,BOOL
input_bit_register_25,BOOL
input_bit_register_26,BOOL
input_bit_register_27,BOOL
input_bit_register_28,BOOL
input_bit_register_29,BOOL
input_bit_register_30,BOOL
input_bit_register_31,BOOL
input_bit_register_32,BOOL
input_bit_register_33,BOOL
input_bit_register_34,BOOL
input_bit_register_35,BOOL
input_bit_register_36,BOOL
input_bit_register_37,BOOL
input_bit_register_38,BOOL
input_bit_register_39,BOOL
input_bit_register_40,BOOL
input_bit_register_41,BOOL
input_bit_register_42,BOOL
input_bit_register_43,BOOL
input_bit_register_44,BOOL
input_bit_register_45,BOOL
input_bit_register_46,BOOL
input_bit_register_47,BOOL
input_bit_register_48,BOOL
input_bit_register_49,BOOL
input_bit_register_50,BOOL
input_bit_register_51,BOOL
input_bit_register_52,BOOL
input_bit_register_53,BOOL
input_bit_register_54,BOOL
input_bit_register_55,BOOL
input_bit_register_56,BOOL
input_bit_register_57,BOOL
input_bit_register_58,BOOL
input_bit_register_59,BOOL
input_bit_register_60,BOOL
input_bit_register_61,BOOL
input_bit_register_62,BOOL
input_bit_register_63,BOOL
input_bit_register_64,BOOL
input_bit_register_65,BOOL
input_bit_register_66,BOOL
input_bit_register_67,BOOL
input_bit_register_68,BOOL
input_bit_register_69,BOOL
input_bit_register_70,BOOL
input_bit_register_71,BOOL
input_bit_register_72,BOOL
input_bit_register_73,BOOL
input_bit_register_74,BOOL
input_bit_register_75,BOOL
input_bit_register_76,BOOL
input_bit_register_77,BOOL
input_bit_register_78,BOOL
input_bit_register_79,BOOL
input_bit_register_80,BOOL
input_bit_register_81,BOOL
input_bit_register_82,BOOL
input_bit_register_83,BOOL
input_bit_register_84,BOOL
input_bit_register_85,BOOL
input_bit_register_86,BOOL
input_bit_register_87,BOOL
input_bit_register_88,BOOL
input_bit_register_89,BOOL
input_bit_register_90,BOOL
input_bit_register_91,BOOL
